,BB,BC,BE,BG,BH,BP,BS,BT,CB,CC,CE,CG,CH,CP,CS,CT,EB,EC,EE,EG,EH,EP,ES,ET,GB,GC,GE,GG,GH,GP,GS,GT,HB,HC,HE,HG,HH,HP,HS,HT,IB,IC,II,PB,PC,PE,PP,PS,PT,SB,SC,SE,SG,SH,SP,SS,ST,TB,TC,TE,TG,TH,TP,TS,TT
BB,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC,4,170,7,18,19,2,25,24,0,0,1,0,0,0,0,0,13,77,17,31,0,17,57,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
BE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS,2,13,0,6,4,1,56,43,0,0,0,0,0,0,0,0,0,17,1,10,0,11,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BT,4,5,0,6,4,0,7,148,0,0,0,0,0,0,0,0,0,2,0,8,0,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CB,5,0,24,0,0,0,0,16,157,0,66,0,0,0,0,0,46,0,22,0,9,0,0,0,43,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,0,14,0,0,0,20,0,11,0,0,0,0,1,18,0,25,0,0,0,0,0
CC,12,60,30,18,16,0,44,11,56,153690,43,248,463,50439,2164,550,65,80,41,37,0,21,74,9,51,116,56,155,19,3,475,504,1,24,6,91,233,47,121,14,0,345,78,31,87108,2,901,6329,4917,40,4601,11,492,339,1177,178,185,35,66,45,590,0,14,382,276
CE,3,0,33,0,0,0,0,9,51,0,338,0,0,0,0,0,18,0,9,0,0,0,0,0,27,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,0,6,0,0,0,14,0,64,0,0,0,0,0,24,0,7,0,0,0,0,0
CG,0,0,1,6,4,0,0,0,0,0,1,139,66,0,3,14,0,0,0,4,0,0,0,0,1,0,0,6,5,0,0,0,0,0,0,0,43,0,0,1,0,0,4,0,0,0,2,3,10,0,1,0,13,20,2,0,5,0,1,0,21,1,0,0,3
CH,0,0,7,8,18,0,2,0,0,1,10,172,593,1,0,19,0,0,0,3,0,0,0,2,2,0,0,11,1,0,0,0,0,0,0,1,94,0,0,1,0,0,9,1,0,0,0,0,23,0,0,0,4,63,0,0,0,18,0,0,31,3,0,0,0
CP,0,0,0,0,0,0,0,0,0,310,0,7,0,611,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,7,3,0,0,0,0,0,1,52,0,6,2,41,0,5,0,4,7,32,1,0,0,0,0,5,0,3,3,1
CS,3,10,6,13,7,0,10,6,5,1052,11,155,127,219,544,160,3,12,32,20,0,2,36,5,9,16,5,32,13,12,180,220,2,5,0,17,66,12,22,6,0,67,100,9,876,0,158,403,755,11,384,2,111,137,71,95,83,31,4,12,275,0,10,177,130
CT,0,3,2,19,11,0,5,2,10,12,8,336,244,1,22,469,0,3,0,17,1,0,3,1,1,3,6,14,7,0,5,46,0,4,0,7,58,0,0,3,0,5,17,3,18,1,8,86,537,1,26,1,35,112,5,2,32,13,4,13,165,0,0,35,33
EB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,8,114,42,34,45,2,49,85,0,0,1,0,0,0,0,0,22,549,42,52,0,55,188,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,203,51,510,13,8,1,27,39,118,0,79,11,3,1,12,1,468,120,860,54,2,20,223,10,33,0,34,1,0,11,0,7,2,0,1,0,2,5,0,0,4,4,36,56,2,0,2,2,10,36,5,63,21,4,245,9,9,16,1,47,34,0,4,17,32
EG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,7,30,11,20,20,1,2,0,0,0,0,0,0,0,0,0,2,14,16,26,0,63,220,10,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,1,3,0,18,2,0,1,4,0,0,0,0,0,0,0,0,1,4,0,10,0,5,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,34,0,14,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
GC,2,4,0,1,0,0,2,0,0,0,1,31,4,0,3,8,0,0,3,1,1,0,6,9,4,112,8,36,61,38,119,9,9,86,18,84,86,90,60,15,0,44,5,0,2,0,1,30,22,2,4,0,35,15,0,0,17,4,4,2,33,0,68,34,45
GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,65,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
GG,0,1,0,8,6,0,5,0,1,0,8,101,64,5,6,32,1,0,1,7,0,0,0,8,4,4,2,128,20,0,1,57,1,2,3,12,114,1,4,5,0,7,24,7,5,0,1,5,19,1,9,0,8,36,0,5,1,9,0,4,48,1,0,56,53
GH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,6,0,0,21,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
GS,0,6,0,6,3,0,0,0,0,0,0,31,5,0,3,2,0,0,0,3,0,0,10,1,7,24,6,16,20,35,123,9,8,6,6,24,78,35,21,1,0,8,3,2,0,0,0,32,28,3,5,0,15,6,0,0,7,3,3,2,9,0,31,23,2
GT,2,0,0,1,0,0,2,1,1,0,0,8,1,0,0,5,0,1,1,0,1,0,0,6,1,1,1,2,34,1,1,150,11,8,2,30,12,0,0,11,0,0,3,2,0,0,1,2,2,0,0,0,4,2,1,0,3,1,0,1,1,0,0,0,4
HB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC,4,0,5,4,1,0,3,4,0,0,3,11,30,0,0,8,1,0,0,2,4,0,4,45,8,10,2,13,506,79,9,9,64,433,31,400,66,138,37,97,0,19,7,0,0,0,0,0,11,0,1,0,14,8,0,0,2,7,1,1,21,1,92,4,39
HE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HH,5,0,10,20,32,0,0,0,0,1,10,138,75,3,0,9,0,0,0,2,0,0,0,14,13,0,0,76,75,0,0,0,12,90,4,78,815,1,0,17,0,0,46,13,1,0,2,0,10,0,0,0,3,129,0,2,0,20,1,0,36,16,1,15,12
HP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,59,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
HS,0,1,0,3,3,0,0,0,0,0,1,13,3,0,0,2,0,0,1,0,1,0,2,2,1,1,0,8,27,30,4,4,3,10,9,23,44,57,28,7,0,5,0,0,0,0,0,0,26,0,0,0,2,4,0,0,0,0,0,0,3,0,46,1,4
HT,0,0,1,4,2,0,2,1,1,0,0,7,13,0,0,3,0,1,0,3,4,0,3,21,4,4,7,4,215,4,0,57,19,51,5,174,90,10,0,95,0,0,2,3,0,0,3,0,2,0,0,0,7,0,0,0,1,2,0,3,16,1,2,1,17
IB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,0,0,0,0,5,0,0,0,0,126,1,1,3,289,1,23,0,2,0,0,0,0,2,0,0,1,0,10,0,0,1,0,0,0,0,0,26,0,0,0,0,3,1,2,926,0,19,40,141,1,5,0,4,21,0,0,4,0,0,0,6,0,0,9,33
PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP,0,0,0,0,1,0,0,0,0,17,0,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,30,2,46,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0
PS,0,0,0,0,0,0,0,0,0,7,1,1,1,7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,33,0,3,37,92,0,1,0,5,0,0,0,2,0,0,0,3,0,0,1,0
PT,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SB,4,0,13,0,0,0,0,1,10,0,22,0,0,0,0,0,5,0,3,0,2,0,0,0,15,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,21,0,2,0,0,0,56,0,63,0,0,0,0,0,14,1,21,0,0,0,0,0
SC,6,20,10,10,8,0,21,7,12,1931,30,100,421,362,134,128,24,53,9,34,1,30,69,21,42,79,26,107,106,37,338,166,15,102,21,118,195,115,580,27,0,346,70,12,1380,0,129,546,1046,32,1946,13,340,143,1278,97,199,52,111,16,420,1,145,787,176
SE,0,0,28,0,0,0,0,0,16,0,65,0,0,0,0,0,9,0,10,0,1,0,0,0,36,0,23,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,7,39,0,0,0,0,0,22,0,459,0,0,0,0,0,22,4,22,0,0,0,0,0
SG,0,0,0,1,1,0,0,0,0,0,0,7,8,0,0,1,0,1,0,2,0,0,3,2,0,0,1,0,5,0,0,1,0,0,0,7,1,0,0,2,0,0,2,0,0,0,1,1,0,1,1,0,46,18,0,0,0,3,0,0,14,1,0,0,1
SH,0,1,0,1,0,0,0,0,0,0,0,7,15,1,0,2,0,0,0,0,0,0,1,0,0,0,1,3,7,0,0,0,3,3,0,10,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,123,0,0,0,7,2,0,9,0,0,0,0
SP,0,0,0,0,0,0,1,0,0,5,1,2,0,25,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,4,0,4,0,8,0,0,0,3,7,377,0,0,0,0,0,0,0,9,2,3
SS,6,7,8,8,5,0,13,28,9,540,14,130,278,90,250,123,5,8,13,13,6,24,34,22,7,49,10,105,160,31,104,187,55,85,4,269,98,71,202,10,0,70,34,17,571,2,145,103,680,13,467,11,161,304,870,491,63,36,20,5,281,0,73,602,395
ST,6,4,4,3,1,0,9,1,0,9,1,46,42,6,7,22,0,7,0,4,0,0,6,5,5,0,16,1,11,2,0,61,1,9,0,14,3,0,0,9,0,10,6,0,7,0,0,17,25,3,10,0,63,42,9,0,89,3,1,1,63,0,3,7,11
TB,2,0,5,0,0,0,0,0,12,0,31,0,0,0,0,0,2,0,5,0,3,0,0,0,34,0,32,0,0,0,0,0,35,0,67,0,0,0,0,0,0,0,8,16,0,2,0,0,0,9,0,9,0,0,0,0,0,129,5,54,0,0,0,0,0
TC,2,18,5,10,8,0,17,4,2,103,17,55,251,29,25,72,7,4,0,5,6,0,26,30,11,158,27,121,465,230,261,58,77,845,84,313,281,316,280,84,0,213,51,32,82,0,14,110,118,23,161,1,151,50,7,8,65,269,690,73,278,0,462,1651,147
TE,2,0,8,0,0,0,0,0,20,0,20,0,0,0,0,0,2,0,2,0,2,0,0,0,28,0,38,0,0,2,0,0,34,0,166,0,0,0,0,0,0,0,3,10,0,0,0,0,0,14,0,8,0,0,0,0,0,61,7,390,0,0,0,0,0
TG,0,0,0,0,1,0,0,0,0,0,2,8,9,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,11,0,0,1,1,0,0,12,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,2,5,1,0,3,6,1,0,90,0,0,0,1
TH,1,0,1,4,2,0,0,0,0,0,0,20,16,0,0,1,0,0,1,0,1,0,0,1,2,0,0,1,29,0,0,0,1,1,0,20,21,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,2,22,1,0,0,1,0,0,15,8,0,0,0
TP,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,2,0,0,35,7,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,80,0,0
TS,5,5,10,4,6,0,13,2,0,24,12,57,93,10,24,45,3,0,0,7,12,1,4,11,12,48,4,59,292,154,117,38,114,137,74,275,202,188,158,66,1,60,21,29,52,0,3,47,231,9,82,1,34,23,3,6,15,68,17,18,137,0,268,1619,201
TT,4,15,22,14,8,2,36,86,10,119,13,152,176,14,124,97,2,4,14,13,10,3,16,143,17,64,21,134,1254,169,12,731,78,520,58,990,221,190,95,668,2,103,63,50,107,0,22,128,412,19,173,1,181,227,175,98,68,52,9,11,320,2,217,213,2653
